game_id,home_team,away_team,bookmaker,spread_home,spread_away,price_home,price_away,commence_time,last_update
a8db154fca88077a84df28acdd7d2f5a,Memphis Grizzlies,New Orleans Pelicans,FanDuel,-3.5,3.5,-110,-110,2025-10-23T00:10:00Z,2025-10-06T02:14:06Z
61f18a914904dd9e20703519f00edf24,Milwaukee Bucks,Washington Wizards,DraftKings,-8.5,8.5,-110,-110,2025-10-23T00:10:00Z,2025-10-06T02:15:41Z
61f18a914904dd9e20703519f00edf24,Milwaukee Bucks,Washington Wizards,MyBookie.ag,-8.5,8.5,-110,-110,2025-10-23T00:10:00Z,2025-10-06T02:15:34Z
61f18a914904dd9e20703519f00edf24,Milwaukee Bucks,Washington Wizards,BetRivers,-8.5,8.5,-114,-112,2025-10-23T00:10:00Z,2025-10-06T02:15:50Z
61f18a914904dd9e20703519f00edf24,Milwaukee Bucks,Washington Wizards,FanDuel,-9.5,9.5,-110,-110,2025-10-23T00:10:00Z,2025-10-06T02:14:06Z
dfa56bede06bbf73e18d8c019c3e5626,Utah Jazz,Los Angeles Clippers,DraftKings,8.0,-8.0,-110,-110,2025-10-23T01:10:00Z,2025-10-06T02:15:41Z
dfa56bede06bbf73e18d8c019c3e5626,Utah Jazz,Los Angeles Clippers,MyBookie.ag,8.0,-8.0,-110,-110,2025-10-23T01:10:00Z,2025-10-06T02:15:34Z
dfa56bede06bbf73e18d8c019c3e5626,Utah Jazz,Los Angeles Clippers,BetRivers,8.0,-8.0,-112,-113,2025-10-23T01:10:00Z,2025-10-06T02:15:50Z
dfa56bede06bbf73e18d8c019c3e5626,Utah Jazz,Los Angeles Clippers,FanDuel,8.5,-8.5,-105,-115,2025-10-23T01:10:00Z,2025-10-06T02:14:06Z
e9b75400f975f37c5d4c03414110530d,Dallas Mavericks,San Antonio Spurs,DraftKings,-2.0,2.0,-110,-110,2025-10-23T01:40:00Z,2025-10-06T02:15:41Z
e9b75400f975f37c5d4c03414110530d,Dallas Mavericks,San Antonio Spurs,MyBookie.ag,-2.0,2.0,-110,-110,2025-10-23T01:40:00Z,2025-10-06T02:15:34Z
e9b75400f975f37c5d4c03414110530d,Dallas Mavericks,San Antonio Spurs,BetRivers,-1.5,1.5,-115,-110,2025-10-23T01:40:00Z,2025-10-06T02:15:50Z
e9b75400f975f37c5d4c03414110530d,Dallas Mavericks,San Antonio Spurs,FanDuel,-3.0,3.0,-105,-115,2025-10-23T01:40:00Z,2025-10-06T02:14:06Z
18a8312266521477423664257e995981,Portland Trail Blazers,Minnesota Timberwolves,DraftKings,2.5,-2.5,-110,-110,2025-10-23T02:10:00Z,2025-10-06T02:15:41Z
18a8312266521477423664257e995981,Portland Trail Blazers,Minnesota Timberwolves,MyBookie.ag,2.5,-2.5,-110,-110,2025-10-23T02:10:00Z,2025-10-06T02:15:34Z
18a8312266521477423664257e995981,Portland Trail Blazers,Minnesota Timberwolves,BetRivers,3.5,-3.5,-113,-113,2025-10-23T02:10:00Z,2025-10-06T02:15:50Z
18a8312266521477423664257e995981,Portland Trail Blazers,Minnesota Timberwolves,FanDuel,3.5,-3.5,-115,-105,2025-10-23T02:10:00Z,2025-10-06T02:14:06Z
0042b0009547d8a7c9827977546613de,Phoenix Suns,Sacramento Kings,DraftKings,-1.0,1.0,-110,-110,2025-10-23T02:10:00Z,2025-10-06T02:15:41Z
0042b0009547d8a7c9827977546613de,Phoenix Suns,Sacramento Kings,MyBookie.ag,-1.0,1.0,-110,-110,2025-10-23T02:10:00Z,2025-10-06T02:15:34Z
0042b0009547d8a7c9827977546613de,Phoenix Suns,Sacramento Kings,BetRivers,-1.5,1.5,-110,-114,2025-10-23T02:10:00Z,2025-10-06T02:15:50Z
0042b0009547d8a7c9827977546613de,Phoenix Suns,Sacramento Kings,FanDuel,-1.5,1.5,-105,-115,2025-10-23T02:10:00Z,2025-10-06T02:14:06Z
072f959e31211e7c805451ce92a5f4e5,Indiana Pacers,Oklahoma City Thunder,DraftKings,7.5,-7.5,-110,-110,2025-10-23T23:40:00Z,2025-10-06T02:15:41Z
94f35a6d58c57801c32a564d04e32270,Golden State Warriors,Denver Nuggets,DraftKings,-1.0,1.0,-108,-112,2025-10-24T02:10:00Z,2025-10-06T02:15:41Z
600dfc9979b72eeef44b5545ba9fe18f,New York Knicks,Boston Celtics,DraftKings,-6.5,6.5,-110,-110,2025-10-24T23:30:00Z,2025-10-06T02:15:41Z
00eb7e982d3c341cdc68795c73d901e1,Los Angeles Lakers,Minnesota Timberwolves,DraftKings,-2.5,2.5,-110,-110,2025-10-25T02:00:00Z,2025-10-06T02:15:41Z
5c3141a83aab2381b9837f56079156fd,Detroit Pistons,Cleveland Cavaliers,DraftKings,1.5,-1.5,-110,-110,2025-10-27T23:00:00Z,2025-10-06T02:15:41Z
3a6b0d7961360bd22e31e59ea415ff57,Minnesota Timberwolves,Denver Nuggets,DraftKings,-1.5,1.5,-110,-110,2025-10-28T01:30:00Z,2025-10-06T02:15:41Z
3784e9747b97bec1c1aab8f693656f18,Philadelphia 76ers,Boston Celtics,DraftKings,-4.0,4.0,-110,-110,2025-10-31T23:00:00Z,2025-10-06T02:15:41Z
8cf5f0182f14070fbb4decdff17134ed,Memphis Grizzlies,Los Angeles Lakers,DraftKings,1.5,-1.5,-110,-110,2025-11-01T01:30:00Z,2025-10-06T02:15:41Z
1269706534827fc185ca0d61405ecd99,San Antonio Spurs,Houston Rockets,DraftKings,1.5,-1.5,-110,-110,2025-11-08T00:30:00Z,2025-10-06T02:15:41Z
